"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Price to TTM earnings","Price to TTM sales","Price to book value","Action"
"PENN","Penn National Gaming Inc","Common stocks","Mid cap","Consumer Discretionary","$8,138,386,728","0.00%","20.79","1.52","2.62","Analyze"
"UA","Under Armour Inc Class C","Common stocks","Mid cap","Consumer Discretionary","$8,083,965,120","0.00%","9.72","1.45","2.14","Analyze"
"UAA","Under Armour Inc Class A","Common stocks","Mid cap","Consumer Discretionary","$8,083,965,120","0.00%","8.50","1.45","1.87","Analyze"
"HII","Huntington Ingalls Industries Inc","Common stocks","Mid cap","Industrials","$7,967,731,892","2.29%","11.74","0.83","3.61","Analyze"
"PNW","Pinnacle West Corp","Common stocks","Mid cap","Utilities","$7,927,698,981","4.67%","13.84","2.12","1.30","Analyze"
"NLSN","Nielsen Holdings Plc","Common stocks","Mid cap","Industrials","$7,497,994,263","1.14%","9.42","1.75","2.39","Analyze"
"PVH","PVH Corp","Common stocks","Mid cap","Consumer Discretionary","$7,270,676,277","0.04%","25.58","0.00","1.39","Analyze"
"ALK","Alaska Air Group Inc","Common stocks","Mid cap","Industrials","$7,016,144,301","0.00%","531.61","1.38","1.96","Analyze"
"GPS","Gap Inc","Common stocks","Mid cap","Consumer Discretionary","$6,676,450,003","3.34%","13.10","0.40","2.38","Analyze"
"NCLH","Norwegian Cruise Line Holdings Ltd","Common stocks","Mid cap","Consumer Discretionary","$4,727,800,000","0.00%","-2.24","27.79","2.85","Analyze"
